Work Item Type,Title 1,Title 2,Title 3,Tags,Area Path
Epic,Prostate Panoramic,,,,RWP-Oncology
Feature,,RWDP 2026m03,,,RWP-Oncology
Product Backlog Item,,,Methodology Doc,Methodology Doc,RWP-Oncology
Product Backlog Item,,,Prog Spec,Prog Spec,RWP-Oncology
Product Backlog Item,,,Prog Spec QC,Prog Spec QC,RWP-Oncology
Product Backlog Item,,,Programming,Programming,RWP-Oncology
Product Backlog Item,,,Program Validation,Program Validation,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
Feature,,Dashboard,,,RWP-Oncology
Epic,Endometrial Cancer,,,,RWP-Oncology
Feature,,RWDP 2026m04,,,RWP-Oncology
Product Backlog Item,,,Methodology Doc,Methodology Doc,RWP-Oncology
Product Backlog Item,,,Prog Spec,Prog Spec,RWP-Oncology
Product Backlog Item,,,Prog Spec QC,Prog Spec QC,RWP-Oncology
Product Backlog Item,,,Programming,Programming,RWP-Oncology
Product Backlog Item,,,Program Validation,Program Validation,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
Feature,,Dashboard 2026m05,,,RWP-Oncology
Product Backlog Item,,,Requirements,Requirements,RWP-Oncology
Product Backlog Item,,,Design,Design,RWP-Oncology
Product Backlog Item,,,Build,Build,RWP-Oncology
Product Backlog Item,,,UAT,UAT,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
Epic,advNSCLC,,,,RWP-Oncology
Feature,,RWDP 2026m05,,,RWP-Oncology
Product Backlog Item,,,Methodology Doc,Methodology Doc,RWP-Oncology
Product Backlog Item,,,Prog Spec,Prog Spec,RWP-Oncology
Product Backlog Item,,,Prog Spec QC,Prog Spec QC,RWP-Oncology
Product Backlog Item,,,Programming,Programming,RWP-Oncology
Product Backlog Item,,,Program Validation,Program Validation,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
Feature,,Dashboard,,,RWP-Oncology
Epic,mCRC,,,,RWP-Oncology
Feature,,RWDP 2026m03,,,RWP-Oncology
Feature,,Dashboard 2026m05,,,RWP-Oncology
Product Backlog Item,,,Requirements,Requirements,RWP-Oncology
Product Backlog Item,,,Design,Design,RWP-Oncology
Product Backlog Item,,,Build,Build,RWP-Oncology
Product Backlog Item,,,UAT,UAT,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
Feature,,RWDP 2026m06,,,RWP-Oncology
Epic,Ovarian Cancer,,,,RWP-Oncology
Feature,,RWDP 2026m03,,,RWP-Oncology
Feature,,Dashboard 2026m05,,,RWP-Oncology
Epic,Panoramic SCLC,,,,RWP-Oncology
Feature,,RWDP 2026m04,,,RWP-Oncology
Feature,,Dashboard 2026m05,,,RWP-Oncology
Feature,,RWDP 2026m05,,,RWP-Oncology
Epic,DLBCL COTA,,,,RWP-Oncology
Feature,,RWDP,,,RWP-Oncology
Feature,,Dashboard 2026m05,,,RWP-Oncology
Product Backlog Item,,,Requirements,Requirements,RWP-Oncology
Product Backlog Item,,,Design,Design,RWP-Oncology
Product Backlog Item,,,Build,Build,RWP-Oncology
Product Backlog Item,,,UAT,UAT,RWP-Oncology
Product Backlog Item,,,Release Prep,Release Prep,RWP-Oncology
